# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : STAVELOT
# Series code : 219
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
2002,-2.9,2.0,-0.2,1.3,6.2,10.1,11.1,12.4,5.8,4.5,4.2,1.6
2003,-2.7,-6.2,-0.4,0.6,6.7,11.1,11.7,10.8,5.0,1.3,3.1,-0.8
2004,-1.6,-1.0,-2.1,2.6,3.9,8.7,10.3,12.3,7.5,5.4,1.3,-3.0
2005,-0.3,-3.7,-0.6,2.2,5.5,9.0,12.0,9.4,7.6,6.2,1.9,-0.7
2006,-4.1,-2.1,-2.7,1.7,7.1,9.2,13.9,10.6,10.5,7.8,4.1,1.0
2007,2.7,1.5,0.3,2.0,7.6,11.7,10.6,9.3,6.8,4.1,1.7,-0.5
2008,1.4,-1.7,0.5,2.3,7.4,9.5,10.6,11.0,5.5,4.2,2.2,-1.4
2009,-6.3,-1.4,-0.4,3.9,6.3,8.3,11.9,10.0,7.5,4.4,5.4,-1.9
2010,-3.7,-2.1,-0.6,0.4,4.4,9.1,11.9,10.5,7.4,4.2,2.7,-5.0
2011,-1.2,-0.7,-1.9,3.4,5.5,9.4,10.0,10.8,8.6,4.0,1.4,1.7
2012,0.9,-6.8,0.5,1.6,7.2,10.3,10.9,11.1,6.0,3.7,2.9,0.7
2013,-1.1,-3.1,-3.6,1.7,5.2,8.7,11.9,9.7,7.7,6.9,1.4,1.0
2014,1.6,0.5,-0.4,3.1,6.4,8.1,12.3,10.1,8.3,6.7,4.4,1.1
2015,-0.9,-2.1,-0.8,-0.2,4.9,8.2,12.4,11.5,6.9,4.5,5.0,4.4
2016,-0.7,0.1,-1.1,1.8,6.7,11.5,12.4,10.5,8.5,4.3,1.9,-1.6
2017,-6.1,0.6,1.0,-1.2,6.7,10.6,11.8,11.7,7.1,7.0,2.0,1.1
2018,2.2,-5.6,-1.6,4.2,7.4,11.7,11.9,11.8,6.3,4.3,2.1,1.4
2019,-0.9,-1.6,1.9,2.2,4.6,10.7,11.1,10.4,6.8,7.1,2.0,1.4
2020,0.7,1.6,0.6,1.9,3.8,9.9,9.7,12.6,7.2,7.0,2.9,1.9
2021,-0.8,-0.8,-1.1,-1.2,4.7,11.9,11.9,11.3,8.3,3.9,1.3,1.6
2022,0.1,0.6,-1.0,1.5,6.3,10.0,10.4,11.1,8.2,6.1,4.3,-0.7
2023,1.3,-0.8,1.2,1.9,6.0,10.4,11.4,11.6,10.7,6.5,4.5,2.9
